"","artists_raw","names","artist_url"
"86","/bamzigi","bamzigi","http://www.kenyans.co.ke/bamzigi"
"87","/bantu","bantu","http://www.kenyans.co.ke/bantu"
"88","/barak-jacuzzi","barak jacuzzi","http://www.kenyans.co.ke/barak-jacuzzi"
"89","/barbra-b","barbra b","http://www.kenyans.co.ke/barbra-b"
"90","/bardizzo-b-izzy","bardizzo b izzy","http://www.kenyans.co.ke/bardizzo-b-izzy"
"91","/bari-bonds","bari bonds","http://www.kenyans.co.ke/bari-bonds"
"92","/bary","bary","http://www.kenyans.co.ke/bary"
"93","/bazooqa","bazooqa","http://www.kenyans.co.ke/bazooqa"
"94","/beatrice-wangui","beatrice wangui","http://www.kenyans.co.ke/beatrice-wangui"
"95","/becky-m","becky m","http://www.kenyans.co.ke/becky-m"
"96","/bee-hum","bee hum","http://www.kenyans.co.ke/bee-hum"
"97","/bellary-classic","bellary classic","http://www.kenyans.co.ke/bellary-classic"
"98","/ben-githae","ben githae","http://www.kenyans.co.ke/ben-githae"
"99","/ben-butali","ben butali","http://www.kenyans.co.ke/ben-butali"
"100","/ben-kariuki","ben kariuki","http://www.kenyans.co.ke/ben-kariuki"
"101","/benachi","benachi","http://www.kenyans.co.ke/benachi"
"102","/benady","benady","http://www.kenyans.co.ke/benady"
"103","/benja","benja","http://www.kenyans.co.ke/benja"
"104","/benjamin-kabaseke","benjamin kabaseke","http://www.kenyans.co.ke/benjamin-kabaseke"
"105","/benjamin-mutai","benjamin mutai","http://www.kenyans.co.ke/benjamin-mutai"
"106","/bern","bern","http://www.kenyans.co.ke/bern"
"107","/berry-black","berry black","http://www.kenyans.co.ke/berry-black"
"108","/betty-bayo","betty bayo","http://www.kenyans.co.ke/betty-bayo"
"109","/bic","bic","http://www.kenyans.co.ke/bic"
"110","/bidan","bidan","http://www.kenyans.co.ke/bidan"
"111","/bien","bien","http://www.kenyans.co.ke/bien"
"112","/big-pin","big pin","http://www.kenyans.co.ke/big-pin"
"113","/bigsoul","bigsoul","http://www.kenyans.co.ke/bigsoul"
"114","/biko","biko","http://www.kenyans.co.ke/biko"
"115","/billy-frank","billy frank","http://www.kenyans.co.ke/billy-frank"
"116","/bire","bire","http://www.kenyans.co.ke/bire"
