"","datesong","mean_views","mean_score","min_views","max_views","mean_likes","min_likes","max_likes","vid_name","ytub_url","art_name","d_posted","cartist","colab"
"1","98_https://www.youtube.com/watch?v=OjclGogOWB8",1288.70072992701,0,1274,1299,17,17,17,"Siku Poa","https://www.youtube.com/watch?v=OjclGogOWB8","Masha  Ala-C",1396040400,"masha","no"
"2","100_https://www.youtube.com/watch?v=TG6GNFDh4iU",74025.6350364963,3,73589,74451,0,0,0,"Change","https://www.youtube.com/watch?v=TG6GNFDh4iU","Sanaipei  Ala-C 
Alpha Msanii
Avril 
Jimw@t 
Jua Cali 
King Kaka
Marya",1361566800,"sanaipei","yes"
"3","100_https://www.youtube.com/watch?v=TG6GNFDh4iU",74025.6350364963,3,73589,74451,0,0,0,"Change","https://www.youtube.com/watch?v=TG6GNFDh4iU","Sanaipei  Ala-C 
Alpha Msanii
Avril 
Jimw@t 
Jua Cali 
King Kaka
Marya",1361566800,"cali","yes"
"985","1036_https://www.youtube.com/watch?v=v9suerzI0I4",3052.15441176471,0,3030,3078,25,25,25,"Not Enough","https://www.youtube.com/watch?v=v9suerzI0I4","Kimya Kayvo Kforce 
 D Major",1381438800,"dmajor","yes"
"986","1038_https://www.youtube.com/watch?v=5Ps3WYC5-XA",1311.16176470588,2.65441176470588,1279,1342,4,4,4,"Okokroko","https://www.youtube.com/watch?v=5Ps3WYC5-XA","Daddy Owen 24 Elders",1443560400,"daddyowen","no"
"987","1039_https://www.youtube.com/watch?v=Hl5gFKnAlvQ",553593.058823529,887.419117647059,464470,637815,2532.97794117647,2322,2714,"Vanity","https://www.youtube.com/watch?v=Hl5gFKnAlvQ","Daddy Owen",1442005200,"daddyowen","no"
"988","1040_https://www.youtube.com/watch?v=MR2Sf7nHNZE",286962.764705882,114.110294117647,285528,288454,313.875,310,320,"Foundation","https://www.youtube.com/watch?v=MR2Sf7nHNZE","Papa DennisDaddy Owen",1426971600,"papa","yes"
"989","1040_https://www.youtube.com/watch?v=MR2Sf7nHNZE",286962.764705882,114.110294117647,285528,288454,313.875,310,320,"Foundation","https://www.youtube.com/watch?v=MR2Sf7nHNZE","Papa DennisDaddy Owen",1426971600,"owen","yes"
"990","1041_https://www.youtube.com/watch?v=6HUYDAeGa2g",176807.330882353,19.0735294117647,171721,181823,575.963235294118,562,591,"Defender","https://www.youtube.com/watch?v=6HUYDAeGa2g","Daddy Owen",1397336400,"daddyowen","no"
"991","1042_https://www.youtube.com/watch?v=DQcrzhBICZU",179.786764705882,0,178,184,0,0,0,"Hafungi Macho","https://www.youtube.com/watch?v=DQcrzhBICZU","Ole Willie Daddy Owen
Dunco",1394485200,"daddy","yes"
"992","1042_https://www.youtube.com/watch?v=DQcrzhBICZU",179.786764705882,0,178,184,0,0,0,"Hafungi Macho","https://www.youtube.com/watch?v=DQcrzhBICZU","Ole Willie Daddy Owen
Dunco",1394485200,"olewillie","yes"
"993","1043_https://www.youtube.com/watch?v=nXBMiNxJ5NY",327182.470588235,23,311600,341464,886.441176470588,854,917,"Kazi Ya Msalaba","https://www.youtube.com/watch?v=nXBMiNxJ5NY","Daddy Owen Danny Gift",1382302800,"daddyowen","yes"
"994","1043_https://www.youtube.com/watch?v=nXBMiNxJ5NY",327182.470588235,23,311600,341464,886.441176470588,854,917,"Kazi Ya Msalaba","https://www.youtube.com/watch?v=nXBMiNxJ5NY","Daddy Owen Danny Gift",1382302800,"dannygift","yes"
"995","1044_https://www.youtube.com/watch?v=ZVFOidOTHx0",8882.71323529412,1,8744,9012,29.4338235294118,28,31,"Utamu Wa Maisha","https://www.youtube.com/watch?v=ZVFOidOTHx0","Daddy Owen Juliani",1378674000,"juliani","yes"
"996","1044_https://www.youtube.com/watch?v=ZVFOidOTHx0",8882.71323529412,1,8744,9012,29.4338235294118,28,31,"Utamu Wa Maisha","https://www.youtube.com/watch?v=ZVFOidOTHx0","Daddy Owen Juliani",1378674000,"daddyowen","yes"
"997","1045_https://www.youtube.com/watch?v=qd921pK71CI",53392.0073529412,2,52978,53849,259.007352941176,258,261,"Twende Kazi","https://www.youtube.com/watch?v=qd921pK71CI","Daddy Owen Danny 
Denno 
Emmy Kosgei
Karun 
Wyre",1354136400,"danny","yes"
"998","1045_https://www.youtube.com/watch?v=qd921pK71CI",53392.0073529412,2,52978,53849,259.007352941176,258,261,"Twende Kazi","https://www.youtube.com/watch?v=qd921pK71CI","Daddy Owen Danny 
Denno 
Emmy Kosgei
Karun 
Wyre",1354136400,"daddyowen","yes"
"999","1046_https://www.youtube.com/watch?v=yF0yPOhcHIk",25559.6397058824,1,25199,25925,62.9411764705882,60,66,"Nimetambua","https://www.youtube.com/watch?v=yF0yPOhcHIk","Bishop  Ben Bahati Daddy Owen
Rufftone",1349470800,"daddy","yes"
"1000","1046_https://www.youtube.com/watch?v=yF0yPOhcHIk",25559.6397058824,1,25199,25925,62.9411764705882,60,66,"Nimetambua","https://www.youtube.com/watch?v=yF0yPOhcHIk","Bishop  Ben Bahati Daddy Owen
Rufftone",1349470800,"bishopbenbahati","yes"
"1001","1047_https://www.youtube.com/watch?v=nMvqSjdSJJw",548850.816176471,16.5441176470588,540431,557095,2024.30882352941,1997,2048,"Mbona","https://www.youtube.com/watch?v=nMvqSjdSJJw","Daddy Owen Denno",1338066000,"denno","yes"
"1002","1047_https://www.youtube.com/watch?v=nMvqSjdSJJw",548850.816176471,16.5441176470588,540431,557095,2024.30882352941,1997,2048,"Mbona","https://www.youtube.com/watch?v=nMvqSjdSJJw","Daddy Owen Denno",1338066000,"daddyowen","yes"
"1003","1048_https://www.youtube.com/watch?v=tJpZ0ItTV2g",15714.5955882353,0,15577,15850,34,34,34,"Kaza Mwendo","https://www.youtube.com/watch?v=tJpZ0ItTV2g","Ngashville  Daddy Owen
Dunco",1336424400,"ngashville","yes"
"1004","1048_https://www.youtube.com/watch?v=tJpZ0ItTV2g",15714.5955882353,0,15577,15850,34,34,34,"Kaza Mwendo","https://www.youtube.com/watch?v=tJpZ0ItTV2g","Ngashville  Daddy Owen
Dunco",1336424400,"daddy","yes"
"1005","1049_https://www.youtube.com/watch?v=siRvy0cNY2c",27063.6029411765,1,26800,27349,35.5882352941176,34,37,"I Dont Know","https://www.youtube.com/watch?v=siRvy0cNY2c","Daddy Owen Dunco 
Kaberere",1336424400,"dunco","yes"
"1006","1049_https://www.youtube.com/watch?v=siRvy0cNY2c",27063.6029411765,1,26800,27349,35.5882352941176,34,37,"I Dont Know","https://www.youtube.com/watch?v=siRvy0cNY2c","Daddy Owen Dunco 
Kaberere",1336424400,"daddyowen","yes"
